"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PERMITTED","PUC_NUM","SPECIAL_SIZING1","SPECIAL_SIZING2","SPECIAL_SIZING3","SPECIAL_SIZING4","TYPE_OF_CARRIER","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
"2019122099","02","8","4900 CURRY RD","","PITTSBURGH","PA","15236","BALDWIN WHITEHALL SCHOOL DISTRIC","4128846300","","","","","","N","","","","","","N","","","","","","","","2","","12"
"2019067669","02","8","345 6TH AVE","","PITTSBURGH","PA","15222","ROBERT DISHONG","7246222966","022000","","","","","N","","","","","","N","","","","","","","","2","","11"
"2019013458","05","1","3100 INDUSTRIAL PARKWAY","","JEFFERSONVILLE","IN","47130","RYDER TRUCK RENTAL INC","6306945050","080000","","","","","N","","","","","","N","","","","","","","","2","00632608","08"
"2019064807","05","1","9503 EAST 33RD STREET","","INDIANAPOLIS","IN","46236","CELADON TRUCKING SERVICES LLC","3179727000","080000","","","","","N","","","","","","N","","","","","","","","1","00261902","08"
"2019123757","02","8","345 SIXTH AVENUE","","PITTSBURGH","PA","15222","PORT AUTHORITY ALLEGHENY COUNTY","4124422000","026000","","","","","N","","","","","","N","","A-00976060","","","","","","2","","13"
"2019128608","05","4","PO BOX 65","","CIRCLEVILLE","WV","26804","HINKLE TRUCKING INC","3045672908","080000","","","","","N","","","","","","N","","","","","","","","1","00085216","08"
"2019027761","04","1","7306 N BAKER ROAD","","FREMONT","IN","46737","FEDEX FREIGHT INC","7244491150","080000","","","","","N","","","","","","N","","","","","","","","2","00239039","08"
"2019097940","02","1","1407 BULLDOG DRIVE","","ALLENTOWN","PA","18104","MACK TRUCK LEASING SYSTEM-LEHIGH","6103956801","025950","","","","","N","","","","","","N","","","","","","","","2","00730341","03"
"2019102686","02","0","13413 STATE ROUTE 422","","KITTANNING","PA","16201","AJ MYERS & SONS INC","4126094186","999999","","","","","N","","","","","","N","","","","","","","","2","00068275","12"
"2019018352","02","1","1325 SCOTLAND AVE EXT.","","PUNXSUTAWNY","PA","15767","KRISE TRANSPORTATION","8149386200","005100","","","","","N","","","","","","N","","","","","","","","2","00550782","02"
"2019006131","05","3","4200 INDUSTRIAL BOULEVA","","ALIQUIPPA","PA","15001","PGT TRUCKING","7249871757","080000","","","","","N","","","","","","N","","","","","","","","1","00192897","06"
"2019016367","99","8","200 HAHN RD","","PITTSBURGH","PA","15209","FIRST STUDENT INC","9999999999","999999","","","","","N","","","","","","N","","","","","","","","2","","11"
"2020009425","03","4","7251 KLIER DR","","FAIRVIEW","PA","16415","STREUBER TRANSPORTATION INC","8148687148","010950","","","","","N","","","","","","N","","","","","","","","2","28122395","09"
"2019058626","03","7","5331 MCANULTY RD","","PITTSBURGH","PA","15236","MICHAELS BROTHERS","4128356428","999999","","","","","N","","","","","","N","","","","","","","","2","02408389","04"
"2019070996","04","1","565 BROADHOLLOW RD","","MELVILLE","NY","11747","VEHIFAX CORP","6314542323","040000","","","","","N","","","","","","N","","","","","","","","1","00078456","08"
"2019126697","03","0","1325 FREY RD","","PENN HILLS","PA","15235","PETRAKIS CONTRACTING","7243253369","","","","","","N","","","","","","N","","","","","","","","2","02338985","04"
"2019086354","03","0","CURRIE RD PO BOX 2","","PORTERSVILLE","PA","16051","M M LEASING INC","8144420572","999999","","","","","N","","","","","","N","","","","","","","","1","","04"
"2019103725","02","7","418 W ARCADIA DR","","PITTSBURGH","PA","15237","MCCANDLESS TOWNSHIP SANITARY AUT","","034500","","","","","N","","","","","","N","","9999999999","","","","","","2","","03"
"2019004401","02","4","3101 BROWNSVILLE RD","","SOUTH PARK","PA","15129","GEORGES SUPPLY INC","4128356123","019500","","","","","N","","","","","","N","","","","","","","","1","02104174","03"
"2019062172","02","1","6045 BRIDGETOWN RD","","CINCINNATI","OH","45248","POLAR ICE TRANSPORT","5408107790","999999","","","","","N","","","","","","N","","","","","","","","2","","03"
"2019042438","04","5","1409 MORAVIA ST","","NEW CASTLE","PA","16101","CASTLE BUILDERS SUPPLY & TRUCKIN","7245060249","073280","","","","","N","","","","","","N","","","","","","","","4","00272363","04"
"2019056786","02","99","1033 KELLY AVENUE","","AKRON","OH","44306","JW DIDADO ELECTRIC LLC","3303740070","054000","","","","","N","","","","","","N","","","","","","","","1","01511271","99"
"2019091863","02","99","801 MCNEILLY RD","","PITTSBURGH","PA","15226","FACCHIONO CONTRACTING","4123445503","011000","","","","","N","","","","","","N","","","","","","","","2","02091728","09"
"2019058845","99","8","9 CRESENT ST","","PITTSBURGH","PA","15223","AKS INC","9999999999","999999","","","","","N","","","","","","N","","","","","","","","1","","11"
"2019052517","99","0","270 ALPHA DR","","PITTSBURGH","PA","15238","MANDI FOOD INC","9999999999","033000","","","","","N","","","","","","N","","","","","","","","1","","09"
"2019106961","03","1","9200 E 146TH STREET","","NOBLESVILLE","IN","46060","J B HUNT TRANSPORT INC","3177730019","080000","","","","","N","","","","","","N","","","","","","","","2","00080806","08"
"2019094273","02","8","110 LENZNER COURT","","SEWICKLEY","PA","15143","TRANSPORTATION MANAGEMENT SERVIC","4127617000","","","","","","N","","","","","","N","","","","","","","","2","71151504","11"
"2019128142","05","99","1263 CHARTIERS AVENUE","","MCKEES ROCKS","PA","15136","BRYAN LOGISTICS","4123811170","080000","","","","","N","","","","","","N","","","","","","","","1","03047372","08"
"2019066511","05","1","6012 S. 233RD PLACE","","KENT","WA","98032","GV TRANSPORTATION","2067120790","080000","","","","","N","","","","","","N","","","","","","","","3","02518047","08"
